mes,capital_90pct_cdi,capital_100pct_cdi,capital_110pct_cdi
0,10000.0,10000.0,10000.0
1,10071.77,10079.74,10087.72
2,10144.05,10160.12,10176.2
3,10216.85,10241.14,10265.46
4,10290.17,10322.8,10355.51
5,10364.02,10405.12,10446.34
6,10438.4,10488.09,10537.97
7,10513.32,10571.72,10630.4
8,10588.77,10656.02,10723.65
9,10664.76,10740.99,10817.71
10,10741.3,10826.65,10912.6
11,10818.39,10912.98,11008.32
12,10896.03,11000.0,11104.88
13,10974.23,11087.72,11202.29
14,11052.98,11176.13,11300.55
15,11132.31,11265.25,11399.67
16,11212.2,11355.08,11499.67
17,11292.67,11445.63,11600.54
18,11373.71,11536.9,11702.29
19,11455.34,11628.89,11804.94
20,11537.55,11721.62,11908.49
21,11620.35,11815.09,12012.94
22,11703.75,11909.31,12118.31
23,11787.74,12004.28,12224.61
24,11872.34,12100.0,12331.84
